"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
145,25,26.80776,23.65942,1.30428,22864.02953,791.93902,107.23561,0.05492
146,25,50.87196,26.76896,1.23794,39873.21955,1068.77042,367.43992,0.08117
147,25,56.20127,29.23868,1.24203,21748.09229,1094.52624,590.56355,0.23287
148,26,14.79494,56.08185,1.20551,19912.49184,775.24215,123.06801,0.06031
149,26,16.12585,46.20377,1.25724,45532.00914,819.20681,133.10158,0.0309
150,26,24.93666,30.87081,2.91641,87137.69908,661.28453,321.72029,0.17428
151,26,32.13346,18.16163,1.18774,11525.0091,887.57142,162.63387,0.12607
152,26,38.52495,24.56737,1.27309,48216.66494,899.28065,138.7093,0.03088
153,26,50.42714,26.58842,2.33061,24009.33623,841.38774,199.42067,0.26494
154,26,57.24607,29.05271,1.37433,46137.7988,878.06691,156.01386,0.04076
155,27,4.7717,13.38195,2.86728,55977.71826,814.13642,223.65358,0.18932
156,27,14.85426,51.3877,1.2606,45025.97555,797.34185,131.33583,0.03107
157,27,25.4449,27.91944,1.25789,48995.14842,894.11893,158.68033,0.03304
158,27,32.83288,17.94174,1.33489,25579.93929,998.00324,186.3347,0.07987
159,27,38.46343,24.56601,1.24079,42927.86173,1302.09635,535.57977,0.10749
160,27,38.44065,24.59588,1.27537,45031.62662,1252.46526,506.4575,0.10244
161,27,51.31347,26.57563,1.24764,20199.09055,1036.38318,414.02743,0.18111
162,27,57.35234,28.89205,1.19255,32195.94142,933.08286,268.53335,0.07055
163,28,15.47493,48.13385,1.30677,25526.75817,770.86864,115.04907,0.05217
164,28,20.68838,35.67709,1.54805,9502.14796,811.15985,118.45501,0.19537
165,28,24.74915,24.12401,3.23969,279585.47797,660.60587,933.0726,0.18286
166,28,25.27276,24.36777,3.37692,293998.09302,751.12913,916.58934,0.18559
167,28,25.07733,24.51631,3.14246,239227.57247,1108.6705,1084.93831,0.23283
168,28,38.60215,24.61534,1.16376,10278.59846,950.77711,159.07035,0.13347
169,28,46.99818,25.90108,1.26566,45284.89378,859.14522,121.08444,0.02928
170,28,57.58862,30.44394,1.5386,35494.99699,817.68594,134.43135,0.05793
171,29,14.9934,51.11559,1.46825,17338.6961,786.32104,129.06141,0.10404
172,29,17.91845,41.10799,1.76193,35076.96699,854.52991,121.3502,0.07007
173,29,25.94656,25.57401,3.48487,219981.11144,844.35663,651.64745,0.1902
174,29,25.77003,25.23093,3.25665,208199.6722,859.52425,769.93814,0.2061
175,29,32.69924,17.96243,1.29798,22285.619,1215.6504,366.53239,0.15814
176,29,33.0691,24.72573,1.40803,46859.2712,1417.489,513.23235,0.12038
177,29,57.0489,28.88451,1.32233,57018.56986,839.3517,144.72868,0.02909
178,30,7.03026,16.76867,1.78407,25324.66909,841.63809,119.79067,0.09798
179,30,14.83621,52.37897,1.26143,43871.67321,950.49878,155.06501,0.03632
180,30,19.08276,40.33106,1.67488,68456.04261,1094.07053,330.61814,0.07675
181,30,21.89111,22.65773,1.28675,27363.18855,1210.05612,288.3849,0.10198
182,30,32.74969,18.07512,1.39877,28101.99055,1058.87259,179.02946,0.07687
183,30,37.85336,24.8977,1.32665,43472.61386,1135.15412,236.41384,0.05727
184,30,45.2363,25.4926,1.12396,18511.40205,1128.56778,453.69137,0.17675
185,30,50.005,26.55297,1.17436,21267.17323,1051.52453,404.09379,0.15004
186,30,56.42673,28.62002,1.10132,14039.47573,889.81601,233.13553,0.12244
187,31,5.08002,13.56599,1.66185,14171.14599,780.40304,101.68306,0.13382
188,31,15.18388,49.76894,1.54241,72528.49284,1045.34274,371.21203,0.06871
189,31,16.70832,44.45421,2.93395,77274.80322,736.33022,358.02952,0.21923
190,31,33.68498,26.01022,1.40875,31086.01694,832.76594,116.60934,0.05003
191,31,35.18829,10.98507,1.87523,15953.23208,989.12507,146.97203,0.20116
192,31,45.1277,25.46196,1.214,49532.83053,821.03832,108.95369,0.02308
193,32,4.93253,13.34433,1.94371,14928.33999,721.77455,89.90957,0.1569
194,32,15.42942,48.88712,1.45138,37968.08937,1024.77842,161.84261,0.05635
195,32,20.7933,36.2107,1.46272,7398.10038,770.65214,117.17425,0.22284
196,32,33.6787,26.06555,1.43862,33116.48395,802.18423,123.24235,0.05104
197,32,50.12378,26.70943,1.27048,11286.25823,735.44559,95.67564,0.0961
198,33,15.22081,48.99062,1.3862,28293.68017,806.83313,123.342,0.05557
199,33,17.37109,20.54551,1.76298,7736.1416,765.58806,94.6555,0.25917
200,33,18.49999,40.14504,1.53666,27937.32333,1010.53065,300.55546,0.14552
201,33,21.56795,34.64181,1.432,24563.41365,993.8697,353.74159,0.16757
202,33,33.61727,25.88815,1.36407,51443.43689,1062.5678,321.12701,0.067
203,33,45.1663,25.49387,1.24179,47320.93124,937.69085,248.39814,0.04854
204,34,14.87081,53.82632,1.37834,48748.40761,1048.24416,195.82213,0.0468
205,34,15.4132,19.72619,1.68475,19638.66401,820.22473,117.33608,0.11104
206,34,18.39434,40.3633,1.44288,25608.9153,1007.39459,213.90216,0.10408
207,34,21.74441,34.30421,1.12085,14445.003,1077.77562,340.74927,0.17283
208,34,24.58271,29.4667,0.94202,5447.34009,1078.83535,428.54702,0.41003
209,34,30.19893,30.36561,1.31826,23112.949,852.64084,192.04067,0.08847
210,34,45.13637,25.42989,1.2425,47749.20619,806.14385,112.63489,0.02552
211,35,15.12745,50.32398,1.39719,57119.06242,918.8393,220.45788,0.04542
212,35,16.73312,20.3968,1.63162,17224.62561,772.1338,98.59131,0.10407
213,35,17.48633,42.6404,1.53002,15066.09311,950.5202,152.88837,0.14846
214,35,21.66758,34.41758,1.28307,50475.84324,879.0397,143.36564,0.03074
215,35,37.5264,24.73684,1.368,62679.09484,999.56976,181.28637,0.03383
216,35,45.25195,25.46956,1.22497,45888.66179,1042.96598,239.06156,0.04718
217,35,55.23187,28.68502,1.31652,29454.16196,1024.94032,230.32144,0.08114
218,36,15.01347,52.36476,1.35443,25388.17204,1061.94949,250.15502,0.1067
219,36,17.14141,43.63872,2.2083,78105.01105,998.40693,356.35889,0.12344
220,36,21.70318,34.37094,1.22851,49618.14144,986.53751,269.55132,0.04876
221,36,37.43852,24.72935,1.39953,27533.39134,786.16571,110.80346,0.05354
222,36,49.01408,26.35381,1.1552,17892.42423,757.5356,99.84994,0.05287
223,37,14.79934,52.83539,1.31571,91910.38988,846.6832,177.6028,0.02134
224,37,18.04124,42.13611,1.11365,7161.29694,781.27898,99.89477,0.12166
225,37,34.40945,25.30358,1.28615,31942.59349,896.13254,139.57752,0.04723
226,37,43.86342,25.4135,2.25424,87780.73237,821.58644,440.21724,0.13906
227,38,5.09135,13.55295,1.71451,19381.22536,817.86244,117.55575,0.11652
228,38,14.63641,53.1887,1.27726,46492.85775,772.64381,110.79441,0.0272
229,38,17.59288,40.94003,1.86312,8864.56221,750.62796,98.34239,0.25932
230,38,27.53811,24.00732,1.35765,43685.5559,956.4786,224.9656,0.05703
231,38,34.35158,25.24174,1.32847,35244.27366,996.89142,228.96819,0.06873
232,38,42.18135,25.54449,1.37548,37031.46541,855.59879,137.14059,0.0457
233,39,4.75659,13.15033,1.96191,12681.56048,735.70223,103.48174,0.20878
234,39,15.62649,47.56632,1.11385,12446.38014,955.05348,338.23377,0.19684
235,39,18.12418,41.68252,1.53885,30661.11469,896.39161,200.2694,0.09303
236,39,36.02641,7.87835,2.67913,33991.65444,734.13192,100.84759,0.14142
237,39,44.11924,25.58104,1.91183,102799.58325,849.44886,545.47402,0.10521
238,39,52.28338,27.3648,1.1573,14792.10948,898.49102,269.08407,0.14478
239,40,15.50778,47.72733,1.27184,23913.34917,854.45043,192.93789,0.08025
240,40,15.08989,56.16855,1.32742,6929.53081,730.83048,97.36459,0.17137
241,40,18.02622,41.28287,1.70336,20247.91956,829.08934,138.01886,0.12517
242,40,24.19118,23.21909,1.26624,11603.81427,784.41081,111.73162,0.10447
243,40,41.73699,24.86801,1.27568,50381.19603,843.69864,141.05874,0.03009
244,40,53.3927,27.76123,1.7274,77045.06852,911.9687,328.74771,0.07207
245,41,18.00904,41.26516,1.67965,25141.76539,786.18671,107.42379,0.08082
246,41,44.58178,25.23033,2.36804,163141.61745,821.52678,950.91371,0.17171
247,41,45.42744,25.29614,1.91314,107670.09381,1359.06624,976.75447,0.17564
248,41,52.85521,27.50533,1.66845,64202.87236,1140.67482,548.7629,0.12986
249,42,15.1438,50.29376,2.41661,95628.03667,736.35549,573.91902,0.18782
250,42,17.62925,42.43317,2.1837,84457.63303,968.98735,319.31165,0.10109
251,42,21.17857,22.4865,1.23914,20156.05296,1063.32522,495.08299,0.21174
252,42,26.16251,26.67407,1.17446,36374.23446,1040.20842,352.6256,0.07758
253,42,33.16425,17.35513,1.46691,11673.80357,852.84129,114.2899,0.13967
254,42,44.99176,25.39948,1.88945,79404.23268,1062.57368,610.83459,0.14808
255,43,15.06784,57.1694,3.30098,29235.52142,742.08593,132.59903,0.30719
256,43,24.18406,30.10277,1.23272,55830.34863,899.94812,183.98036,0.03158
257,43,34.87899,16.14703,1.69463,31839.40613,915.27171,138.64592,0.07947
258,43,43.22519,25.39246,1.40215,82397.60809,1079.76404,242.95922,0.03465
