"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
103,20,15.00434,57.44756,1.24919,35692.21495,798.06249,109.48547,0.03339
104,20,25.11408,29.30107,0.97459,5116.02421,802.52666,159.65759,0.1929
105,20,32.824,26.72595,1.50164,50273.09231,900.93022,194.78314,0.05316
106,20,32.83584,18.80808,2.69959,16385.69222,734.86067,117.61828,0.33406
107,20,40.98575,24.89587,1.24143,11953.48937,822.39144,98.0215,0.08854
108,20,50.53444,26.33766,1.29645,15444.39588,892.68935,176.2718,0.11894
109,20,57.39843,30.27219,1.5036,30695.96787,840.9442,137.72517,0.06522
110,21,15.00768,57.46049,1.26087,42755.47891,846.31974,141.46286,0.03461
111,21,32.94001,26.87385,1.32494,10351.17939,770.62382,103.91858,0.12052
112,21,48.69631,25.9141,2.33684,97547.30689,789.52386,459.55367,0.13984
113,22,15.06375,57.63076,1.34212,41622.69634,823.81424,134.54683,0.03837
114,22,25.04397,28.77981,1.26717,42328.02935,797.74981,115.43821,0.03023
115,22,34.74427,11.66533,2.04387,21147.7463,801.25615,105.40596,0.13801
116,22,46.58462,25.49231,1.74415,116349.05306,1004.27055,519.93922,0.07437
117,23,15.01847,52.65956,1.31429,5203.44322,710.51434,89.08448,0.20917
118,23,28.97273,24.08859,1.33244,26001.43898,986.98902,353.93709,0.13804
119,23,34.17221,24.359,1.23329,26427.8524,997.30416,335.80715,0.11179
120,23,34.89305,14.07168,1.93981,24517.45642,895.33714,119.1769,0.11846
121,23,48.15647,25.908,2.03601,39791.56688,889.91511,252.96412,0.15135
122,23,54.44404,27.84125,1.1778,35337.8817,975.68074,274.53281,0.06409
123,24,27.85852,23.71435,1.30792,28427.77565,825.99938,125.48504,0.05027
124,24,35.1008,14.78644,2.05417,39313.62538,835.0028,133.61363,0.09081
125,24,54.19629,27.78744,1.28097,77455.27866,901.97223,180.46638,0.02428
