"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
284,49,28.6948,31.06088,1.17568,18154.11104,1390.99146,595.80999,0.25355
285,49,30.88624,24.40306,1.22597,44831.55676,1086.52465,281.12863,0.05573
286,49,34.60807,16.64412,1.62467,16892.12323,877.43784,141.60658,0.13966
287,50,14.97862,52.27917,1.34924,49335.1104,954.1575,154.3133,0.03656
288,50,15.63158,19.80012,1.9854,33129.03902,828.05006,147.72613,0.10921
289,50,18.40268,41.10785,1.77869,88951.12377,1003.02719,266.92348,0.05491
290,50,27.15896,25.06568,1.18095,33361.29688,1089.01826,411.46401,0.09843
291,50,29.10577,30.85597,1.41368,52378.70914,1042.03714,306.43824,0.06754
292,51,13.79621,18.13163,1.83896,33639.74223,832.24213,107.61696,0.07229
293,51,17.23496,43.94587,1.88713,30589.89069,824.85635,117.16403,0.08905
294,51,28.89572,31.08118,1.39117,44558.15366,839.39443,126.79111,0.03667
295,51,44.45066,25.20476,1.34214,8425.68267,748.77159,93.32673,0.13967
296,52,13.98941,18.32971,1.6574,10063.00809,812.35631,130.46934,0.22732
297,52,17.25162,43.85032,2.1603,38216.89283,1050.58906,234.94545,0.16574
298,52,19.5998,37.93499,1.18117,20752.23415,1184.25034,358.2903,0.13912
299,52,21.60841,22.61598,1.45365,33695.15043,901.56637,124.61121,0.05161
300,52,28.93795,31.07928,1.2541,39843.25717,1114.5482,312.57342,0.07188
301,52,34.65372,12.34565,1.57984,6170.91009,800.82055,97.07288,0.2676
302,52,36.47011,24.82792,1.55026,71883.56605,899.53913,307.95407,0.05911
303,53,13.7618,18.4319,1.50667,9018.21792,816.61441,115.30335,0.19126
304,53,20.17282,38.02207,1.39779,81087.95754,1104.32517,341.30443,0.04722
305,53,22.47904,22.6667,1.57261,20214.41825,931.64304,132.18313,0.10387
306,53,23.20882,32.13546,1.10413,30627.42213,1277.99562,568.31828,0.12784
307,53,30.98454,24.36246,1.21881,27680.50965,1110.55142,345.0459,0.10702
308,53,37.13607,24.67567,1.24956,46461.84258,1124.4026,348.11789,0.06755
309,53,47.84221,25.41544,1.16413,9672.5824,806.27351,129.17048,0.11974
310,54,14.92285,57.07458,1.2606,17833.80041,739.8835,94.62263,0.05993
311,54,21.72884,34.93037,1.84126,92836.60753,1194.36407,718.39067,0.14061
312,54,25.43346,28.37397,0.95477,16171.13608,1654.08354,898.5807,0.28659
313,54,33.64297,26.57712,1.68265,82994.00067,1515.10522,885.25727,0.16133
314,54,51.36243,26.8186,1.26985,10218.90038,751.46818,92.40854,0.10322
315,55,10.77506,17.49572,1.98382,44324.82468,920.91459,163.75996,0.08895
316,55,20.45342,38.85267,1.34014,14287.15833,781.47329,106.00684,0.09093
317,55,29.30292,26.13714,3.57327,100801.29979,743.62431,331.82384,0.23173
318,55,29.03345,30.888,1.21734,38391.85895,1341.28115,769.14776,0.16355
319,55,33.37788,26.46885,1.30587,50839.33225,1437.75763,743.79006,0.1367
320,55,35.43776,8.44332,2.19666,13501.16702,816.95995,105.88797,0.24893
321,55,51.9785,27.06721,1.40838,59696.61794,971.06472,295.96474,0.0571
322,55,52.58324,27.3012,1.51183,49813.74403,967.3786,349.2629,0.09087
323,56,5.10583,13.5648,1.96023,24212.87488,778.69885,115.47347,0.11941
324,56,18.28867,41.77108,1.4118,74981.44645,1086.23875,327.69017,0.05013
325,56,24.64313,29.37775,1.15846,47145.9666,1169.43258,551.00378,0.08835
326,56,26.90233,24.01197,1.2543,37402.46264,1130.77685,621.23189,0.14486
327,56,37.4431,5.29304,2.62071,32323.46833,966.48457,149.00783,0.19394
328,56,45.64262,25.47712,1.2104,34598.79351,805.53727,106.97366,0.03194
329,57,8.20088,17.08177,1.81342,27878.91339,842.29626,118.93322,0.09144
330,57,18.06412,41.82145,1.4901,101213.10641,1097.60781,252.93013,0.03288
331,57,24.63976,29.38971,1.10977,42596.16002,1376.76811,730.18353,0.11787
332,57,28.36123,25.11624,3.26581,194292.57822,759.60845,784.76635,0.22618
333,57,31.53831,25.00588,2.49034,120275.30885,867.78111,584.79817,0.16134
